"camera Name	",not being in acceptaptable eyesight range,being in acceptaptable eyesight range(50 degree),C column+line of sight,steps Number
camera (1),0,1,0.9803922,51
camera (2),0.2352941,0.7647059,0.7450981,51
camera (3),0,1,0.9803922,51
camera (4),0,1,0.7254902,51
camera (5),0.2352941,0.7647059,0.7647059,51
camera (6),0.01960784,0.9803922,0.9019608,51
camera (7),0.05882353,0.9411765,0.9411765,51

camera (0),0,1,0.9807692,52
camera (1),0,1,0.9807692,52
camera (2),0.25,0.75,0.7307692,52
camera (3),0,1,0.9807692,52
camera (4),0,1,0.7115384,52
camera (5),0.2307692,0.7692308,0.7692308,52
camera (6),0.01923077,0.9807692,0.9038461,52
camera (7),0.05769231,0.9423077,0.9423077,52

camera (0),0,1,0.9811321,53
camera (1),0,1,0.9811321,53
camera (2),0.2641509,0.735849,0.7169811,53
camera (3),0,1,0.9811321,53
camera (4),0,1,0.6981132,53
camera (5),0.2264151,0.7735849,0.7735849,53
camera (6),0.01886792,0.9811321,0.9056604,53
camera (7),0.05660377,0.9433962,0.9433962,53

camera (0),0,1,0.9814815,54
camera (1),0,1,0.9814815,54
camera (2),0.2777778,0.7222222,0.7037037,54
camera (3),0,1,0.9814815,54
camera (4),0,1,0.6851852,54
camera (5),0.2222222,0.7777778,0.7777778,54
camera (6),0.01851852,0.9814815,0.9074074,54
camera (7),0.05555556,0.9444444,0.9444444,54

camera (0),0,1,0.9818182,55
camera (1),0,1,0.9818182,55
camera (2),0.2909091,0.7090909,0.6909091,55
camera (3),0,1,0.9818182,55
camera (4),0,1,0.6727273,55
camera (5),0.2181818,0.7818182,0.7818182,55
camera (6),0.01818182,0.9818182,0.9090909,55
camera (7),0.05454545,0.9454545,0.9454545,55

camera (0),0,1,0.9821429,56
camera (1),0,1,0.9821429,56
camera (2),0.3035714,0.6964285,0.6785714,56
camera (3),0,1,0.9821429,56
camera (4),0,1,0.6607143,56
camera (5),0.2142857,0.7857143,0.7857143,56
camera (6),0.01785714,0.9821429,0.9107143,56
camera (7),0.05357143,0.9464286,0.9464286,56

camera (0),0,1,0.9824561,57
camera (1),0,1,0.9824561,57
camera (2),0.3157895,0.6842105,0.6666667,57
camera (3),0,1,0.9824561,57
camera (4),0,1,0.6491228,57
camera (5),0.2105263,0.7894737,0.7894737,57
camera (6),0.01754386,0.9824561,0.8947368,57
camera (7),0.05263158,0.9473684,0.9473684,57

camera (0),0,1,0.9827586,58
camera (1),0,1,0.9827586,58
camera (2),0.3275862,0.6724138,0.6551724,58
camera (3),0,1,0.9827586,58
camera (4),0,1,0.637931,58
camera (5),0.2068966,0.7931035,0.7931035,58
camera (6),0.01724138,0.9827586,0.8793104,58
camera (7),0.05172414,0.9482759,0.9482759,58

camera (0),0,1,0.9830508,59
camera (1),0,1,0.9830508,59
camera (2),0.3389831,0.661017,0.6440678,59
camera (3),0,1,0.9830508,59
camera (4),0,1,0.6271186,59
camera (5),0.2033898,0.7966102,0.7966102,59
camera (6),0.01694915,0.9830508,0.8813559,59
camera (7),0.05084746,0.9491525,0.9491525,59

camera (0),0,1,0.9833333,60
camera (1),0,1,0.9833333,60
camera (2),0.35,0.65,0.6333333,60
camera (3),0,1,0.9833333,60
camera (4),0,1,0.6166667,60
camera (5),0.2,0.8,0.8,60
camera (6),0.01666667,0.9833333,0.8833333,60
camera (7),0.05,0.95,0.95,60

camera (0),0,1,0.9836066,61
camera (1),0,1,0.9836066,61
camera (2),0.3606557,0.6393442,0.6229508,61
camera (3),0,1,0.9836066,61
camera (4),0,1,0.6065574,61
camera (5),0.1967213,0.8032787,0.8032787,61
camera (6),0.01639344,0.9836065,0.8688524,61
camera (7),0.04918033,0.9508197,0.9508197,61

camera (0),0,1,0.983871,62
camera (1),0,1,0.983871,62
